No.,正誤,分野名,大分類,中分類,出典,学習日
480,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q52.html"",""令和6年春期 問52"")",2025/2/26
481,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q62.html"",""令和2年秋期 問62"")",2025/2/26
482,○,マネジメント系,開発技術,システム開発技術,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q45.html"",""令和4年春期 問45"")",2025/2/26
483,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q43.html"",""令和6年春期 問43"")",2025/2/26
484,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q39.html"",""令和6年春期 問39"")",2025/2/26
485,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q83.html"",""令和2年秋期 問83"")",2025/2/26
486,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q32.html"",""令和6年春期 問32"")",2025/2/26
487,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q75.html"",""令和6年春期 問75"")",2025/2/26
488,×,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q13.html"",""令和3年春期 問13"")",2025/2/26
489,×,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q17.html"",""令和3年春期 問17"")",2025/2/26
490,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q15.html"",""令和2年秋期 問15"")",2025/2/26
491,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q93.html"",""令和5年春期 問93"")",2025/2/26
492,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q58.html"",""令和3年春期 問58"")",2025/2/26
493,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q19.html"",""令和5年春期 問19"")",2025/2/26
494,×,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q23.html"",""令和4年春期 問23"")",2025/2/26
495,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q23.html"",""令和5年春期 問23"")",2025/2/26
496,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/02_aki/q53.html"",""令和2年秋期 問53"")",2025/2/26
497,×,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/05_haru/q16.html"",""令和5年春期 問16"")",2025/2/26
498,○,ストラテジ系,企業と法務,法務,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/04_haru/q9.html"",""令和4年春期 問9"")",2025/2/26
499,○,マネジメント系,企業と法務,システム監査,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/03_haru/q38.html"",""令和3年春期 問38"")",2025/2/26
500,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.itpassportsiken.com/kakomon/06_haru/q58.html"",""令和6年春期 問58"")",2025/2/26
